"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\product_detail_page.dart", "Dart", 104, 1, 8, 113
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\image_product.dart", "Dart", 76, 0, 6, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\orther_information_product.dart", "Dart", 134, 0, 7, 141
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\overview_product.dart", "Dart", 170, 0, 5, 175
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\row_data.dart", "Dart", 39, 0, 4, 43
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\styles.dart", "Dart", 12, 0, 3, 15
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\update_orther_infor_dialog.dart", "Dart", 239, 0, 12, 251
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_bloc.dart", "Dart", 100, 0, 20, 120
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_event.dart", "Dart", 35, 0, 18, 53
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_state.dart", "Dart", 74, 0, 7, 81
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\edit_overview_product_page.dart", "Dart", 304, 0, 16, 320
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\booktype_selector.dart", "Dart", 79, 0, 3, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\confirm_update_button.dart", "Dart", 95, 0, 7, 102
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\year_selector_textfield.dart", "Dart", 77, 0, 9, 86
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_bloc.dart", "Dart", 75, 0, 19, 94
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_event.dart", "Dart", 18, 0, 9, 27
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_state.dart", "Dart", 38, 0, 5, 43
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\product_feedback_page.dart", "Dart", 165, 0, 9, 174
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_feedback_item.dart", "Dart", 140, 0, 4, 144
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_information.dart", "Dart", 37, 0, 4, 41
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_information_loading.dart", "Dart", 55, 0, 3, 58
"d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_bloc.dart", "Dart", 28, 0, 8, 36
"d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_event.dart", "Dart", 7, 0, 5, 12
"d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_state.dart", "Dart", 15, 0, 4, 19
